,x
464,TMEM57
465,LDLRAP1
466,RP11-70P17.1
467,MAN1C1
468,RP1-187B23.1
469,SEPN1
470,RP1-317E23.6
471,RP1-317E23.3
472,MTFR1L
473,AUNIP
474,RP1-125I3.2
475,PAQR7
476,STMN1
477,PAFAH2
478,EXTL1
479,SLC30A2
480,TRIM63
481,PDIK1L
482,FAM110D
483,RP11-96L14.8
484,RP11-96L14.7
485,ZNF593
486,CNKSR1
487,CATSPER4
488,CEP85
489,SH3BGRL3
490,UBXN11
491,CD52
492,AIM1L
493,ZNF683
494,LIN28A
495,DHDDS
496,RP3-476K8.3
497,HMGN2
498,RPS6KA1
499,RP5-968P14.2
500,ARID1A
501,PIGV
502,ZDHHC18
503,SFN
504,GPN2
505,RP1-50O24.6
506,GPATCH3
507,NUDC
508,NR0B2
509,KDF1
510,TRNP1
511,FAM46B
512,SLC9A1
513,RP11-40H20.4
514,WDTC1
515,TMEM222
516,SYTL1
517,MAP3K6
518,FCN3
519,CD164L2
520,GPR3
521,WASF2
522,RP4-752I6.1
523,RP1-159A19.4
524,AHDC1
525,FGR
526,RP11-288L9.1
527,IFI6
528,RP11-288L9.4
529,FAM76A
530,STX12
531,PPP1R8
532,AL109927.1
533,THEMIS2
534,RPA2
535,SMPDL3B
536,RP11-460I13.2
537,XKR8
538,EYA3
539,PTAFR
540,DNAJC8
541,ATPIF1
542,RP5-1092A3.4
543,SESN2
544,MED18
545,PHACTR4
546,RCC1
547,TRNAU1AP
548,SNHG12
549,TAF12
550,RAB42
551,RP11-442N24__B.1
552,RNU11
553,GMEB1
554,YTHDF2
555,OPRD1
556,RP1-212P9.3
557,EPB41
558,TMEM200B
559,RP11-242O24.3
560,SRSF4
561,MECR
562,RP11-467D18.2
563,PTPRU
564,RP3-437I16.1
565,RP11-111I12.1
566,MATN1
567,MATN1-AS1
568,LAPTM5
569,RP5-1125N11.1
570,RP5-1125N11.2
571,RP1-65J11.5
572,SDC3
573,PUM1
574,NKAIN1
575,SNRNP40
576,ZCCHC17
577,RP11-266K22.2
578,FABP3
579,SERINC2
580,LINC01226
581,RP11-73M7.1
582,TINAGL1
583,HCRTR1
584,PEF1
585,RP11-73M7.6
586,COL16A1
587,ADGRB2
588,RP11-84A19.3
589,SPOCD1
590,RP11-84A19.2
591,RP11-84A19.4
592,PTP4A2
593,RP4-534N18.2
594,KHDRBS1
595,RP11-277A4.4
596,TMEM39B
597,KPNA6
598,TXLNA
599,CCDC28B
600,RP4-622L5.7
601,IQCC
602,DCDC2B
603,TMEM234
604,EIF3I
605,FAM167B
606,LCK
607,HDAC1
608,MARCKSL1
609,RP4-811H24.9
610,TSSK3
611,FAM229A
612,BSDC1
613,RP1-27O5.3
614,ZBTB8A
615,ZBTB8OS
616,RBBP4
617,SYNC
618,RP11-114B7.6
619,KIAA1522
620,YARS
621,S100PBP
622,FNDC5
623,HPCA
624,TMEM54
625,RNF19B
626,RP1-117O3.2
627,AK2
628,AZIN2
629,TRIM62
630,ZNF362
631,A3GALT2
632,RP11-415J8.3
633,PHC2
634,RP11-415J8.5
635,ZSCAN20
636,CSMD2
637,HMGB4
638,CSMD2-AS1
639,C1orf94
640,SMIM12
641,GJB5
642,GJB4
643,GJB3
644,GJA4
645,RP5-997D16.2
646,DLGAP3
647,RP11-244H3.4
648,ZMYM6
649,ZMYM1
650,SFPQ
651,ZMYM4
652,ZMYM4-AS1
653,KIAA0319L
654,NCDN
655,RP4-728D4.2
656,TFAP2E
657,PSMB2
658,C1orf216
659,CLSPN
660,RP11-435D7.3
661,AGO4
662,AGO1
663,RP4-789D17.5
664,AGO3
665,RP4-665N4.8
666,TEKT2
667,ADPRHL2
668,COL8A2
669,TRAPPC3
670,MAP7D1
671,THRAP3
672,SH3D21
673,EVA1B
674,RP11-268J15.5
675,STK40
676,LSM10
677,OSCP1
678,MRPS15
679,CSF3R
680,RP4-614N24.1
681,GRIK3
682,RP5-1180C18.1
683,LINC01137
684,ZC3H12A
685,MEAF6
686,SNIP1
687,DNALI1
688,GNL2
689,RSPO1
690,C1orf109
691,CDCA8
692,EPHA10
693,MANEAL
694,RP11-109P14.9
695,YRDC
696,C1orf122
697,MTF1
698,INPP5B
699,RP11-109P14.10
700,SF3A3
701,FHL3
702,UTP11L
703,POU3F1
704,RP5-884C9.2
705,LINC01343
706,RP11-329N22.1
707,RRAGC
708,RP5-864K19.4
709,MYCBP
710,RP5-864K19.6
711,RHBDL2
712,AKIRIN1
713,NDUFS5
714,MACF1
715,RP11-420K8.1
716,BMP8A
717,RP11-69E11.4
718,PABPC4
719,RP11-69E11.8
720,HEYL
721,NT5C1A
722,HPCAL4
723,PPIE
724,BMP8B
725,RP1-118J21.25
726,TRIT1
727,MYCL
728,RP1-118J21.5
729,MFSD2A
730,CAP1
731,PPT1
732,RLF
733,TMCO2
734,RP1-39G22.7
735,ZMPSTE24
736,COL9A2
737,SMAP2
738,ZFP69B
739,ZFP69
740,RP11-656D10.3
741,EXO5
742,RP11-656D10.5
743,RP11-656D10.6
744,ZNF684
745,RIMS3
746,RP4-739H11.3
747,NFYC-AS1
748,NFYC
749,KCNQ4
750,CITED4
751,RP5-1066H13.4
752,CTPS1
753,SLFNL1-AS1
754,SLFNL1
755,SCMH1
756,RP11-399E6.1
757,FOXO6
758,RP11-399E6.4
759,EDN2
760,HIVEP3
761,GUCA2B
762,GUCA2A
763,FOXJ3
764,RIMKLA
765,ZMYND12
766,PPCS
767,CCDC30
768,PPIH
769,RP5-994D16.3
770,YBX1
771,CLDN19
772,P3H1
773,C1orf50
774,RP5-994D16.9
775,RP5-994D16.11
776,SVBP
777,ERMAP
778,RP11-342M1.3
779,ZNF691
780,SLC2A1
781,SLC2A1-AS1
782,FAM183A
783,EBNA1BP2
784,CFAP57
785,TMEM125
786,C1orf210
787,TIE1
788,MPL
789,RP1-92O14.3
790,CDC20
791,ELOVL1
792,MED8
793,RP1-92O14.6
794,SZT2
795,SZT2-AS1
796,HYI
797,HYI-AS1
798,PTPRF
799,KDM4A
800,KDM4A-AS1
801,ST3GAL3
802,RP11-184I16.4
803,ARTN
804,RP11-7O11.3
805,IPO13
806,DPH2
807,ATP6V0B
808,B4GALT2
809,CCDC24
810,SLC6A9
811,RP5-1198O20.4
812,KLF17
813,DMAP1
814,ERI3
815,RNF220
816,TMEM53
817,C1orf228
818,KIF2C
819,RP11-269F19.2
820,RPS8
821,BEST4
822,PLK3
823,BTBD19
824,PTCH2
825,EIF2B3
826,HECTD3
827,UROD
828,ZSWIM5
829,LINC01144
830,HPDL
831,MUTYH
832,TOE1
833,TESK2
834,CCDC163P
835,MMACHC
836,PRDX1
837,AKR1A1
838,NASP
839,CCDC17
840,GPBP1L1
841,TMEM69
842,IPP
843,MAST2
844,PIK3R3
845,PIK3R3.1
846,RP4-533D7.4
847,RP4-533D7.5
848,TSPAN1
849,POMGNT1
850,LURAP1
851,RAD54L
852,LRRC41
853,UQCRH
854,NSUN4
855,FAAH
856,DMBX1
857,RP11-49P4.7
858,MKNK1-AS1
859,KNCN
860,MKNK1
861,ATPAF1
862,TEX38
863,EFCAB14-AS1
864,EFCAB14
865,CYP4B1
866,CYP4A11
867,CYP4X1
868,CYP4Z1
869,CYP4A22-AS1
870,CYP4A22
871,LINC00853
872,PDZK1IP1
873,TAL1
874,RP1-18D14.7
875,STIL
876,CMPK1
877,LINC01389
878,FOXE3
879,FOXD2-AS1
880,FOXD2
881,RP11-543D5.1
882,TRABD2B
883,RP4-683M8.2
884,RP11-193P11.3
885,RP5-1024N4.2
886,SLC5A9
887,RP5-1024N4.4
888,SPATA6
889,AGBL4
890,RP11-141A19.1
891,RP11-141A19.2
892,ELAVL4
893,RP11-567C20.2
894,RP11-567C20.3
895,DMRTA2
896,FAF1
897,RP5-850O15.3
898,CDKN2C
899,C1orf185
900,LINC01562
901,RNF11
902,RP11-296A18.6
903,TTC39A
904,TTC39A-AS1
905,EPS15
906,RP11-253A20.1
907,RP11-191G24.1
908,OSBPL9
909,NRDC
910,RP4-657D16.3
911,RP4-657D16.6
912,RAB3B
913,TXNDC12
914,RP11-91A18.4
915,TXNDC12-AS1
916,BTF3L4
917,ZFYVE9
918,CC2D1B
919,RP11-155O18.6
920,ORC1
921,PRPF38A
922,ZCCHC11
923,RP11-25O10.2
924,GPX7
925,FAM159A
926,COA7
927,ZYG11B
928,ZYG11A
929,ECHDC2
930,SCP2
931,AL445183.1
932,PODN
933,RP11-334A14.5
934,SLC1A7
935,RP11-334A14.8
936,CPT2
937,RP5-1024G6.2
938,C1orf123
939,RP5-1024G6.7
940,MAGOH
941,RP5-1024G6.5
942,LRP8
943,RP4-784A16.1
944,RP4-784A16.2
945,RP4-784A16.5
946,RP11-117D22.2
947,DMRTB1
948,GLIS1
949,NDC1
950,YIPF1
951,DIO1
952,HSPB11
953,LRRC42
954,LDLRAD1
955,TMEM59
956,TCEANC2
957,CDCP2
958,RP11-446E24.4
959,MRPL37
960,SSBP3
961,SSBP3-AS1
962,RP5-997D24.3
963,RP4-705F19.1
964,RP5-866L20.1
965,ACOT11
966,FAM151A
967,MROH7-TTC4
968,TTC4
969,PARS2
970,TTC22
971,RP11-67L3.2
972,LEXM
973,DHCR24
974,RP11-67L3.5
975,RP11-67L3.4
976,TMEM61
977,RP11-12C17.2
978,BSND
979,PCSK9
980,USP24
981,RP11-101C11.1
982,RP11-90C4.1
983,RP11-90C4.2
984,RP11-90C4.3
985,RP1-158P9.1
986,RP11-504A18.1
987,PLPP3
988,PRKAA2
989,C1orf168
990,RP11-378I13.1
991,C8A
992,C8B
993,RP5-1103B4.3
994,DAB1
995,RP6-102O10.1
996,DAB1-AS1
997,RP11-393I23.4
998,OMA1
999,TACSTD2
1000,MYSM1
1001,JUN
1002,LINC01135
1003,RP11-63G10.3
1004,RP11-63G10.2
1005,RP4-794H19.1
1006,LINC01358
1007,RP11-145M4.1
1008,RP11-145M4.2
1009,RP11-467C18.1
1010,FGGY
1011,RP4-782L23.2
1012,HOOK1
1013,CYP2J2
1014,C1orf87
1015,RP11-575B7.3
1016,RP11-776H12.1
1017,RP11-436K8.1
1018,NFIA
1019,NFIA-AS2
1020,TM2D1
1021,RP11-430G17.3
1022,INADL
1023,L1TD1
1024,KANK4
1025,USP1
1026,DOCK7
1027,ANGPTL3
1028,RP11-230B22.1
1029,ATG4C
1030,RP4-771M4.3
1031,RP11-5P4.1
1032,RP11-5P4.2
1033,RP11-335E6.2
1034,RP11-335E6.3
1035,FOXD3-AS1
1036,ALG6
1037,ITGB3BP
1038,EFCAB7
1039,PGM1
1040,ROR1
1041,ROR1-AS1
1042,UBE2U
1043,CACHD1
1044,RAVER2
1045,JAK1
1046,RP4-535B20.4
1047,RP4-535B20.1
1048,AK4
1049,DNAJC6
1050,RP5-1044H5.1
1051,LEPROT
1052,LEPR
1053,PDE4B
1054,RP11-397C12.1
1055,SGIP1
1056,RP4-598P13.1
1057,TCTEX1D1
1058,INSL5
1059,WDR78
1060,RP11-342H21.2
1061,MIER1
1062,SLC35D1
1063,C1orf141
1064,IL23R
1065,IL12RB2
1066,SERBP1
1067,RP11-393N21.2
1068,GADD45A
1069,GNG12
1070,GNG12-AS1
1071,DIRAS3
1072,WLS
1073,RPE65
1074,DEPDC1
1075,RP4-694A7.2
1076,DEPDC1-AS1
1077,RP11-424D14.1
1078,RP11-74K19.1
1079,RP3-380B4.1
1080,LRRC7
1081,RP11-181B18.1
1082,LRRC40
1083,SRSF11
1084,RP4-677H15.4
1085,ANKRD13C
1086,HHLA3
1087,RP11-180O5.2
1088,AL158839.1
1089,CTH
1090,RP11-42O15.3
1091,RP5-952N6.1
1092,RP11-99H8.1
1093,PTGER3
1094,RP3-333A15.1
1095,ZRANB2-AS1
1096,ZRANB2
1097,NEGR1
1098,RP11-82L20.1
1099,RP4-660H19.1
1100,RP11-262K1.1
1101,LINC01360
1102,RP4-788P17.1
1103,LRRIQ3
1104,FPGT
1105,FPGT-TNNI3K
1106,TNNI3K
1107,RP11-439H8.4
1108,LRRC53
1109,ERICH3
1110,ERICH3-AS1
1111,RP11-17E13.2
1112,CRYZ
1113,TYW3
1114,RP11-93N20.1
1115,RP11-510C10.2
1116,LHX8
1117,SLC44A5
1118,RP4-682C21.5
1119,ACADM
1120,RABGGTB
1121,MSH4
1122,ASB17
1123,RP11-550H2.1
1124,RP11-550H2.2
1125,ST6GALNAC3
1126,RP5-1102E8.3
1127,RP11-415A20.1
1128,ST6GALNAC5
1129,RP4-564M11.2
1130,PIGK
1131,AK5
1132,RP11-375A5.1
1133,ZZZ3
1134,USP33
1135,FAM73A
1136,NEXN-AS1
1137,NEXN
1138,FUBP1
1139,DNAJB4
1140,GIPC2
1141,RP11-386I14.4
1142,PTGFR
1143,IFI44L
1144,IFI44
1145,ADGRL4
1146,RP11-339D23.1
1147,RP5-933B4.1
1148,RP5-887A10.1
1149,ADGRL2
1150,RP5-837I24.2
1151,RP5-837I24.4
1152,RP11-147G16.1
1153,LINC01362
1154,LINC01361
1155,RP11-413G15.1
1156,RP11-475O6.1
1157,RP5-836J3.1
1158,TTLL7
1159,RP11-486G15.2
1160,PRKACB
1161,SAMD13
1162,DNASE2B
1163,RPF1
1164,GNG5
1165,CTBS
1166,LINC01555
1167,SSX2IP
1168,LPAR3
1169,MCOLN2
1170,WDR63
1171,MCOLN3
1172,SYDE2
1173,C1orf52
1174,BCL10
1175,RP11-131L23.1
1176,DDAH1
1177,RP11-131L23.2
1178,RP11-290M5.4
1179,CYR61
1180,ZNHIT6
1181,COL24A1
1182,ODF2L
1183,CLCA2
1184,CLCA1
1185,CLCA4
1186,RP4-651E10.4
1187,RP4-612B15.3
1188,SH3GLB1
1189,SEP15
1190,HS2ST1
1191,RP4-604K5.3
1192,RP5-1052I5.2
1193,LMO4
1194,LINC01364
1195,RP5-1027O11.1
1196,PKN2-AS1
1197,PKN2
1198,GTF2B
1199,CCBL2
1200,GBP3
1201,GBP1
1202,GBP2
1203,GBP7
1204,GBP4
1205,GBP5
1206,RP4-620F22.2
1207,GBP6
1208,LRRC8B
1209,FLJ27354
1210,LRRC8C
1211,RP11-302M6.4
1212,RP5-943J3.2
1213,LRRC8D
1214,RP11-302M6.5
1215,ZNF326
1216,RP5-827O9.1
1217,BARHL2
1218,RP4-665J23.1
